match_id,ground_latitutde,ground_longitude,notes
6309997,51.63805987,-1.134015222,cumnor played home game at Warbrough
6289955,51.62558013,-1.318083714,Steventon doesn't have location data of ground in pc
6310005,51.62558013,-1.318083714,Steventon doesn't have location data of ground in pc
