id,status,published,last_updated,league_id,competition_name,competition_id,competition_type,match_type,game_type,countdown_cricket,match_date,match_time,ground_name,ground_id,home_team_name,home_team_id,home_club_name,home_club_id,away_team_name,away_team_id,away_club_name,away_club_id,umpire_1_name,umpire_1_id,umpire_2_name,umpire_2_id,umpire_3_name,umpire_3_id,referee_name,referee_id,scorer_1_name,scorer_1_id,scorer_2_name,scorer_2_id,toss_won_by_team_id,toss,batted_first,no_of_overs,balls_per_innings,no_of_innings,result,result_description,result_applied_to,home_confirmed,away_confirmed,result_locked,scorecard_locked,match_notes,points,innings,league_name,starting_runs,dismissal_penalty
6290080,New,Yes,03/07/2024,16676,Division 3 North,119698,League,Limited Overs,Standard,no,03/07/2024,18:00,Boundary Park 1: “Slade Oval”,37957,Downs 2nd XI,354155,Didcot CC,2301,Midweek XI,15137,Harwell International CC,3220,,,,,,,,,Graham Stevens,5527461,,,15137,Harwell International CC - Midweek XI won the toss and elected to bat,15137,20,,1,W,Harwell International CC - Midweek XI - Won,15137,false,false,true,false,"<b>Harwell International CC Midweek XI Innings</b><br/>
5.3 1st Wicket: 50 runs in 24 balls, 20 minutes, James Goldsby-West 14 (10), Paul Eccleston 15 (14), 24 extras<br/>5.3 Harwell International CC Midweek XI: 50 runs in 5.3 overs, 20 minutes, 24 extras<br/>13.4 Harwell International CC Midweek XI: 100 runs in 13.4 overs, 49 minutes, 32 extras<br/>18.1 Harwell International CC Midweek XI: 150 runs in 18.1 overs, 66 minutes, 46 extras<br/>18.3 7th Wicket: 50 runs in 19 balls, 11 minutes, Sooraj Pradeep 26 (9), Ethin George 8 (10), 16 extras
<br/>
<br/>
<b>Didcot CC Downs 2nd XI Innings</b><br/>
8.4 Didcot CC Downs 2nd XI: 50 runs in 8.4 overs, 32 minutes, 4 extras<br/>12.3 Matthew Hanson: 50 runs in 39 balls, 37 minutes (10x4, 1x6)<br/>12.6 4th Wicket: 50 runs in 41 balls, 25 minutes, Matthew Hanson 26 (26), Peter Sykes 22 (15), 3 extras<br/>13.6 Didcot CC Downs 2nd XI: 100 runs in 14.0 overs, 50 minutes, 8 extras<br/>19.3 Didcot CC Downs 2nd XI: 150 runs in 19.3 overs, 72 minutes, 13 extras<br/>19.4 Matthew Hanson: 100 runs in 67 balls, 65 minutes (15x4, 4x6)
<br/>
",,,Downs League,NA,NA
6310035,New,Yes,07/07/2024,275,Division 7C,119996,League,Limited Overs,Standard,no,06/07/2024,11:00,Boundary Park 1: “Slade Oval”,37957,4th XI,107886,Didcot CC,2301,1st XI,284082,Harwell International CC,3220,,,,,,,,,,,,,,,,45,,1,A,Abandoned,,false,false,true,false,,,,Cherwell League,NA,NA
6626762,New,Yes,07/07/2024,,,,Friendly,Limited Overs,Standard,no,07/07/2024,13:30,Aston,,Friendly XI,336093,"Astons CC, Oxon",818,Friendly XI,15138,Harwell International CC,3220,,,,,,,,,Graham Stevens,5527461,,,15138,Harwell International CC - Friendly XI won the toss and elected to field,336093,,,1,W,Harwell International CC - Friendly XI - Won,15138,false,false,false,false,"<b>Astons CC, Oxon Friendly XI Innings</b><br/>
13.6 1st Wicket: 50 runs in 86 balls, 48 minutes, R Smith 28 (52), - Blewitt 11 (34), 11 extras<br/>13.6 Astons CC, Oxon Friendly XI: 50 runs in 14.0 overs, 48 minutes, 11 extras<br/>21.1 R Smith: 50 runs in 72 balls, 79 minutes (6x4)<br/>21.6 Astons CC, Oxon Friendly XI: 100 runs in 21.5 overs, 82 minutes, 14 extras<br/>29.7 Astons CC, Oxon Friendly XI: 150 runs in 30.0 overs, 113 minutes, 21 extras
<br/>
<br/>
<b>Harwell International CC Friendly XI Innings</b><br/>
16.6 Harwell International CC Friendly XI: 50 runs in 17.0 overs, 65 minutes, 7 extras<br/>17.2 2nd Wicket: 50 runs in 96 balls, 53 minutes, Dan Strangward 21 (58), Thomas Forrest 22 (38), 7 extras<br/>23.1 Harwell International CC Friendly XI: 100 runs in 23.1 overs, 90 minutes, 10 extras<br/>29.3 Jayesh Manwani: 50 runs in 27 balls, 30 minutes (3x4, 3x6)<br/>29.4 Harwell International CC Friendly XI: 150 runs in 29.4 overs, 115 minutes, 13 extras
<br/>
",,,NA,NA,NA
6289918,New,Yes,29/07/2024,16676,Division 3 North,119698,League,Limited Overs,Standard,no,10/07/2024,18:00,Add New Ground,,1st XI,234429,Evotec CC,18257,Midweek XI,15137,Harwell International CC,3220,,,,,,,,,,,,,234429,Evotec CC - 1st XI won the toss and elected to field,15137,20,,1,W,Evotec CC - 1st XI - Won,234429,false,false,true,false,,,,Downs League,NA,NA
6310037,New,Yes,16/08/2024,275,Division 7C,119996,League,Limited Overs,Standard,no,13/07/2024,13:00,Letcombe,,1st XI,356211,Letcombe CC,3918,1st XI,284082,Harwell International CC,3220,,,,,,,,,,,,,356211,Letcombe CC - 1st XI won the toss and elected to field,284082,45,,1,W,Harwell International CC - 1st XI - Won,284082,true,false,true,false,"<b>Harwell International CC 1st XI Innings</b><br/>
17.5 Harwell International CC 1st XI: 50 runs in 17.5 overs, 70 minutes, 11 extras<br/>30.4 Harwell International CC 1st XI: 100 runs in 30.4 overs, 113 minutes, 15 extras<br/>31.2 5th Wicket: 50 runs in 60 balls, 33 minutes, Joe Braham 9 (22), Max Schofield 41 (38), 1 extra<br/>33.4 Max Schofield: 50 runs in 47 balls, 39 minutes (8x4)<br/>37.5 Harwell International CC 1st XI: 150 runs in 37.5 overs, 135 minutes, 15 extras
<br/>
<br/>
<b>Letcombe CC 1st XI Innings</b><br/>
13.7 Letcombe CC 1st XI: 50 runs in 14.0 overs, 48 minutes, 7 extras<br/>18.4 3rd Wicket: 50 runs in 70 balls, 39 minutes, Zeeshan Najmi 15 (26), Josh Godwin 33 (44), 2 extras<br/>26.3 Letcombe CC 1st XI: 100 runs in 26.3 overs, 90 minutes, 8 extras<br/>29.4 Josh Godwin: 50 runs in 71 balls, 75 minutes (7x4)<br/>30.5 4th Wicket: 50 runs in 52 balls, 29 minutes, Josh Godwin 17 (21), Daniel Taylor 31 (31), 2 extras<br/>37.3 Letcombe CC 1st XI: 150 runs in 37.3 overs, 135 minutes, 13 extras<br/>40.2 Ben Richmond: 5 wickets (8.2-1-24-5)
<br/>
",,,Cherwell League,NA,NA
6399990,New,Yes,20/10/2024,,,,Friendly,Limited Overs,Standard,no,14/07/2024,13:30,Harwell,11535,Friendly XI,15138,Harwell International CC,3220,Friendly XI,76718,Oxenford CC,4939,,,,,,,,,,,,,15138,Harwell International CC - Friendly XI won the toss and elected to bat,15138,,,1,W,Oxenford CC - Friendly XI - Won,76718,false,true,false,false,"<b>Harwell International CC Friendly XI Innings</b><br/>
16.6 Harwell International CC Friendly XI: 50 runs in 16.5 overs, 69 minutes, 15 extras<br/>25.4 Jamie Ross: 50 runs in 65 balls, 107 minutes (10x4)<br/>26.5 Harwell International CC Friendly XI: 100 runs in 26.5 overs, 113 minutes, 17 extras
<br/>
<br/>
<b>Oxenford CC Friendly XI Innings</b><br/>
8.4 Oxenford CC Friendly XI: 50 runs in 8.3 overs, 34 minutes, 2 extras<br/>23.3 Oxenford CC Friendly XI: 100 runs in 23.3 overs, 91 minutes, 12 extras
<br/>
",,,NA,NA,NA
6404165,New,Yes,16/07/2024,,,,Friendly,Limited Overs,Standard,no,16/07/2024,14:00,Harwell,11535,Midweek XI,15137,Harwell International CC,3220,Thames Tour XI,169,Old Merchant Taylors CC,168,,,,,,,,,,,,,15137,Harwell International CC - Midweek XI won the toss and elected to field,169,,,1,W,Old Merchant Taylors CC - Thames Tour XI - Won,169,false,false,false,false,"<b>Old Merchant Taylors CC Thames Tour XI Innings</b><br/>
13.6 Old Merchant Taylors CC Thames Tour XI: 50 runs in 14.0 overs, 47 minutes, 7 extras<br/>20.4 2nd Wicket: 50 runs in 66 balls, 40 minutes, Shripal Shah 16 (21), John Walter 31 (45), 3 extras<br/>21.9 Old Merchant Taylors CC Thames Tour XI: 100 runs in 22.0 overs, 79 minutes, 12 extras<br/>25.4 John Walter: 50 runs in 64 balls, 58 minutes (3x4)<br/>29.1 Old Merchant Taylors CC Thames Tour XI: 150 runs in 29.0 overs, 105 minutes, 18 extras
<br/>
<br/>
<b>Harwell International CC Midweek XI Innings</b><br/>
15.2 Harwell International CC Midweek XI: 50 runs in 15.2 overs, 76 minutes, 1 extra
<br/>
",,,NA,NA,NA
6310046,New,Yes,21/07/2024,275,Division 7C,119996,League,Limited Overs,Standard,no,20/07/2024,13:00,Harwell,11535,1st XI,284082,Harwell International CC,3220,3rd XI,43570,Cumnor CC,2190,,,,,,,,,,,,,284082,Harwell International CC - 1st XI won the toss and elected to field,43570,45,,1,W,Harwell International CC - 1st XI - Won,284082,false,false,true,false,"<b>Cumnor CC 3rd XI Innings</b><br/>
19.2 Cumnor CC 3rd XI: 50 runs in 19.2 overs, 76 minutes, 4 extras<br/>30.6 Ben Richmond: 5 wickets (9-2-13-5)
<br/>
<br/>
<b>Harwell International CC 1st XI Innings</b><br/>
16.4 Harwell International CC 1st XI: 50 runs in 16.4 overs, 64 minutes, 5 extras
<br/>
",,,Cherwell League,NA,NA
6634001,New,Yes,23/07/2024,,,,Friendly,Limited Overs,Standard,no,21/07/2024,13:30,Nettlebed,,Sunday 1st XI,216781,Nettlebed CC,15727,Friendly XI,15138,Harwell International CC,3220,,,,,,,,,,,,,15138,Harwell International CC - Friendly XI won the toss and elected to bat,15138,,,1,W,Nettlebed CC - Sunday 1st XI - Won,216781,true,false,false,false,"<b>Harwell International CC Friendly XI Innings</b><br/>
23.1 Harwell International CC Friendly XI: 50 runs in 23.1 overs, 84 minutes, 12 extras
<br/>
<br/>
<b>Nettlebed CC Sunday 1st XI Innings</b><br/>
4.6 1st Wicket: 50 runs in 30 balls, 22 minutes, Danny McAllister 35 (16), M Bryant 10 (14), 6 extras<br/>4.6 Nettlebed CC Sunday 1st XI: 50 runs in 4.5 overs, 22 minutes, 6 extras<br/>6.5 Danny McAllister: 50 runs in 23 balls, 29 minutes (4x4, 4x6)<br/>9.4 Nettlebed CC Sunday 1st XI: 100 runs in 9.4 overs, 49 minutes, 11 extras
<br/>
",,,NA,NA,NA
6289974,New,Yes,24/07/2024,16676,Division 3 North,119698,League,Limited Overs,Standard,no,24/07/2024,18:00,Charlton Village Road,491,Twenty20,332704,Wantage & Grove CC,6648,Midweek XI,15137,Harwell International CC,3220,,,,,,,,,,,,,332704,Wantage & Grove CC - Twenty20 won the toss and elected to field,15137,20,,1,W,Wantage & Grove CC - Twenty20 - Won,332704,false,false,true,false,"<b>Harwell International CC Midweek XI Innings</b><br/>
8.3 Harwell International CC Midweek XI: 50 runs in 8.3 overs, 31 minutes, 15 extras<br/>14.2 Harwell International CC Midweek XI: 100 runs in 14.2 overs, 53 minutes, 20 extras
<br/>
<br/>
<b>Wantage & Grove CC Twenty20 Innings</b><br/>
6.3 1st Wicket: 50 runs in 31 balls, 23 minutes, Colin Mercer 22 (18), Jordan Galsworthy 6 (13), 24 extras<br/>6.3 Wantage & Grove CC Twenty20: 50 runs in 6.3 overs, 23 minutes, 24 extras<br/>12.4 1st Wicket: 100 runs in 66 balls, 43 minutes, Colin Mercer 43 (37), Jordan Galsworthy 27 (29), 32 extras<br/>12.4 Wantage & Grove CC Twenty20: 100 runs in 12.4 overs, 43 minutes, 32 extras
<br/>
",,,Downs League,NA,NA
